id,name,description,cover,rating,release_date,created_at,updated_at
31,The Gentlemen,"When aristocratic Eddie inherits the family estate, he discovers that it's home to a huge weed empire, and its proprietors aren't going anywhere.","https://m.media-amazon.com/images/M/MV5BMzM0YzFhMTYtYjZkNS00MWRmLTg2ZDgtY2MzYjQ5ODVmOTI1XkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg",8.0,2024-03-07,2025-06-07 02:29:52.864603,2025-06-07 02:29:52.864617
32,The Righteous Gemstones,"Follows a world-famous televangelist family with a long tradition of deviance, greed, and charitable work.","https://m.media-amazon.com/images/M/MV5BMjM3ZWQ1YWQtNGRiZi00ZDQ0LWJhMzgtNTNlMjFjYzU4NWQwXkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg",8.1,2019-08-18,2025-06-07 02:30:02.236792,2025-06-07 02:30:02.236807
33,The Righteous Gemstones,"Follows a world-famous televangelist family with a long tradition of deviance, greed, and charitable work.","https://m.media-amazon.com/images/M/MV5BMjM3ZWQ1YWQtNGRiZi00ZDQ0LWJhMzgtNTNlMjFjYzU4NWQwXkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg",8.1,2019-08-18,2025-06-07 02:30:15.892432,2025-06-07 02:30:15.892446
34,Fullmetal Alchemist,"When a failed alchemical ritual leaves brothers Edward and Alphonse Elric with severely damaged bodies, they begin searching for the one thing that can save them: the fabled philosopher's st...Read all","https://m.media-amazon.com/images/M/MV5BNDczZWMyMjEtZDI0ZS00YThjLWE2MjEtNTIxNmVmZDhkNDg5XkEyXkFqcGc@._V1_QL75_UX190_CR0,2,190,281_.jpg",8.5,2004-11-06,2025-06-07 02:30:24.005180,2025-06-07 02:30:24.005194
35,The Dark Tower,A boy haunted by visions of a dark tower from a parallel reality teams up with the tower's disillusioned guardian to stop an evil warlock known as the Man in Black who plans to use the boy t...Read all,"https://m.media-amazon.com/images/M/MV5BMTU3MjUwMzQ3MF5BMl5BanBnXkFtZTgwMjcwNjkxMjI@._V1_QL75_UX190_CR0,0,190,281_.jpg",5.6,2017-08-04,2025-06-07 02:30:38.290638,2025-06-07 02:30:38.290653
36,Fullmetal Alchemist,"When a failed alchemical ritual leaves brothers Edward and Alphonse Elric with severely damaged bodies, they begin searching for the one thing that can save them: the fabled philosopher's st...Read all","https://m.media-amazon.com/images/M/MV5BNDczZWMyMjEtZDI0ZS00YThjLWE2MjEtNTIxNmVmZDhkNDg5XkEyXkFqcGc@._V1_QL75_UX190_CR0,2,190,281_.jpg",8.5,2004-11-06,2025-06-07 02:32:51.783734,2025-06-07 02:32:51.783755
37,Fullmetal Alchemist: The Sacred Star of Milos,"In the lost holy land of Milos, the Elrics search for the truth behind an unknown form of alchemy. What secrets are hidden in Milos? Riddles must be solved and dangers faced before the truth...Read all","https://m.media-amazon.com/images/M/MV5BMTY2OTY4MDk4NF5BMl5BanBnXkFtZTcwMzA0NzExNw@@._V1_QL75_UX190_CR0,1,190,281_.jpg",6.8,2012-01-20,2025-06-07 02:32:59.330042,2025-06-07 02:32:59.330056
38,Fullmetal Alchemist: Brotherhood,Two brothers search for a Philosopher's Stone after an attempt to revive their deceased mother goes awry and leaves them in damaged physical forms.,"https://m.media-amazon.com/images/M/MV5BMzNiODA5NjYtYWExZS00OTc4LTg3N2ItYWYwYTUyYmM5MWViXkEyXkFqcGc@._V1_QL75_UY281_CR6,0,190,281_.jpg",9.1,2009-04-09,2025-06-07 02:33:48.264085,2025-06-07 02:33:48.264109
39,Fullmetal Alchemist: Brotherhood,Two brothers search for a Philosopher's Stone after an attempt to revive their deceased mother goes awry and leaves them in damaged physical forms.,"https://m.media-amazon.com/images/M/MV5BMzNiODA5NjYtYWExZS00OTc4LTg3N2ItYWYwYTUyYmM5MWViXkEyXkFqcGc@._V1_QL75_UY281_CR6,0,190,281_.jpg",9.1,2009-04-09,2025-06-07 02:40:43.566233,2025-06-07 02:40:43.566255
40,Fullmetal Alchemist: Brotherhood,Two brothers search for a Philosopher's Stone after an attempt to revive their deceased mother goes awry and leaves them in damaged physical forms.,"https://m.media-amazon.com/images/M/MV5BMzNiODA5NjYtYWExZS00OTc4LTg3N2ItYWYwYTUyYmM5MWViXkEyXkFqcGc@._V1_QL75_UY281_CR6,0,190,281_.jpg",9.1,2009-04-09,2025-06-07 02:41:14.470600,2025-06-07 02:41:14.470621
